Location,City,RCM,Region,Bounding Territory,Display Name,Bounding Type,Bounding Population,GeoPy Index
Laval-sur-le-Lac,Laval,Laval,Laval,"[Sainte-Dorothée,Laval-Ouest,Îles Laval,Laval-sur-le-Lac]",Sainte-Dorothée & Laval-Ouest,Laval Borough,45000,0
Laval-des-Rapides,Laval,Laval,Laval,"[Laval-des-Rapides,Pont-Viau Laval]",Laval-des-Rapides,Laval Borough,50000,0
Pont-Viau,Laval,Laval,Laval,"[Laval-des-Rapides,Pont-Viau Laval]",Laval-des-Rapides,Laval Borough,50000,0
Sainte-Rose,Laval,Laval,Laval,Sainte-Rose,Sainte-Rose,Laval Borough,35000,1
Vimont,Laval,Laval,Laval,Vimont,Vimont,Laval Borough,30000,1
Ahuntsic,Montréal,Montréal,Montréal,Ahuntsic-Cartierville,Ahuntsic-Cartierville,Montréal Borough,135000,0
Anjou,Montréal,Montréal,Montréal,Anjou,Anjou,Montréal Borough,40000,0
Beaconsfield,Montréal,Montréal,Montréal,Beaconsfield,Beaconsfield,Montréal Borough,20000,0
Côte Saint-Luc,Montréal,Montréal,Montréal,"[Côte Saint-Luc,Montréal-Ouest]",Côte Saint-Luc,Montréal Borough,40000,0
Côte-des-Neiges-Notre-Dame-de-Grâce,Montréal,Montréal,Montréal,"[Côte-des-Neiges-Notre-Dame-de-Grâce,Hampstead]",Côte-des-Neiges-Notre-Dame-de-Grâce,Montréal Borough,170000,0
Dollard-des-Ormeaux,Montréal,Montréal,Montréal,Dollard-des-Ormeaux,Dollard-des-Ormeaux,Montréal Borough,50000,0
Dorval,Montréal,Montréal,Montréal,Dorval,Dorval,Montréal Borough,20000,0
Kirkland,Montréal,Montréal,Montréal,Kirkland,Kirkland,Montréal Borough,20000,0
L'Île-Bizard,Montréal,Montréal,Montréal,L'Île-Bizard-Sainte-Geneviève,L'Île-Bizard-Sainte-Geneviève,Montréal Borough,20000,0
LaSalle,Montréal,Montréal,Montréal,LaSalle,LaSalle,Montréal Borough,75000,0
Lachine,Montréal,Montréal,Montréal,Arrondissement de Lachine,Lachine,Montréal Borough,45000,0
